0,1,2,3,4,5,6,7,8,9,10
kitchen towels,rolls/buns,,,,,,,,,
coffee,rolls/buns,,,,,,,,,
softener,soda,,,,,,,,,
other vegetables,pastry,,,,,,,,,
meat spreads,domestic eggs,sugar,,,,,,,,
pork,specialty bar,soda,,,,,,,,
oil,margarine,,,,,,,,,
citrus fruit,whole milk,,,,,,,,,
soda,bottled water,whole milk,other vegetables,hygiene articles,,,,,,
whipped/sour cream,frozen vegetables,,,,,,,,,
rolls/buns,soft cheese,,,,,,,,,
liquor (appetizer),tropical fruit,,,,,,,,,
soda,semi-finished bread,,,,,,,,,
detergent,other vegetables,detergent,,,,,,,,
frozen fish,rolls/buns,,,,,,,,,
whole milk,hard cheese,soda,,,,,,,,
brown bread,shopping bags,,,,,,,,,
waffles,shopping bags,,,,,,,,,
curd,citrus fruit,rolls/buns,other vegetables,dessert,,,,,,
berries,whole milk,other vegetables,,,,,,,,
bottled water,other vegetables,,,,,,,,,
dessert,pastry,,,,,,,,,
packaged fruit/vegetables,dishes,,,,,,,,,
meat,rolls/buns,,,,,,,,,
soda,flour,,,,,,,,,
whole milk,ice cream,turkey,artif. sweetener,,,,,,,
root vegetables,napkins,,,,,,,,,
frozen meals,onions,,,,,,,,,
yogurt,onions,,,,,,,,,
whipped/sour cream,shopping bags,,,,,,,,,
whole milk,beef,,,,,,,,,
packaged fruit/vegetables,yogurt,,,,,,,,,
margarine,chocolate,,,,,,,,,
tropical fruit,napkins,long life bakery product,,,,,,,,
rolls/buns,grapes,yogurt,rolls/buns,whole milk,rolls/buns,,,,,
beef,butter,brown bread,,,,,,,,
yogurt,newspapers,,,,,,,,,
bottled water,cling film/bags,,,,,,,,,
pork,yogurt,,,,,,,,,
frozen vegetables,pip fruit,root vegetables,cereals,,,,,,,
misc. beverages,bottled water,,,,,,,,,
ice cream,newspapers,,,,,,,,,
dessert,napkins,,,,,,,,,
white bread,rolls/buns,,,,,,,,,
yogurt,rolls/buns,rolls/buns,,,,,,,,
liver loaf,chicken,whole milk,canned beer,fruit/vegetable juice,frozen dessert,light bulbs,condensed milk,,,
berries,newspapers,,,,,,,,,
fruit/vegetable juice,waffles,tropical fruit,domestic eggs,liquor (appetizer),dessert,,,,,
canned beer,frozen potato products,,,,,,,,,
other vegetables,bottled water,,,,,,,,,
butter milk,sausage,UHT-milk,yogurt,canned beer,,,,,,
whole milk,specialty chocolate,,,,,,,,,
frozen fruits,pot plants,,,,,,,,,
baking powder,bottled water,,,,,,,,,
canned beer,coffee,,,,,,,,,
salt,margarine,,,,,,,,,
other vegetables,coffee,,,,,,,,,
frozen vegetables,onions,,,,,,,,,
whole milk,citrus fruit,,,,,,,,,
pip fruit,rolls/buns,fruit/vegetable juice,pasta,,,,,,,
citrus fruit,yogurt,,,,,,,,,
soda,ice cream,,,,,,,,,
sausage,bottled beer,hygiene articles,,,,,,,,
citrus fruit,pastry,,,,,,,,,
UHT-milk,shopping bags,,,,,,,,,
sausage,other vegetables,,,,,,,,,
domestic eggs,yogurt,canned beer,,,,,,,,
citrus fruit,grapes,,,,,,,,,
specialty chocolate,bottled water,,,,,,,,,
whole milk,soda,,,,,,,,,
whole milk,coffee,,,,,,,,,
bottled beer,whipped/sour cream,,,,,,,,,
condensed milk,hard cheese,,,,,,,,,
pork,bottled beer,,,,,,,,,
rolls/buns,yogurt,,,,,,,,,
yogurt,root vegetables,,,,,,,,,
chicken,canned beer,,,,,,,,,
coffee,salty snack,,,,,,,,,
other vegetables,canned beer,newspapers,,,,,,,,
pip fruit,hard cheese,,,,,,,,,
bottled beer,processed cheese,,,,,,,,,
coffee,whole milk,,,,,,,,,
canned beer,yogurt,,,,,,,,,
chicken,yogurt,newspapers,shopping bags,rolls/buns,domestic eggs,,,,,
other vegetables,newspapers,waffles,,,,,,,,
beverages,waffles,,,,,,,,,
yogurt,canned beer,,,,,,,,,
other vegetables,sausage,tropical fruit,frozen meals,hygiene articles,rolls/buns,,,,,
pip fruit,waffles,,,,,,,,,
tropical fruit,rolls/buns,,,,,,,,,
roll products ,sausage,prosecco,chocolate,,,,,,,
newspapers,coffee,,,,,,,,,
whole milk,napkins,flour,,,,,,,,
frankfurter,beef,red/blush wine,whole milk,frozen dessert,,,,,,
specialty bar,bottled water,dental care,,,,,,,,
sausage,yogurt,tidbits,,,,,,,,
whipped/sour cream,meat spreads,,,,,,,,,
root vegetables,softener,,,,,,,,,
soda,margarine,,,,,,,,,
whole milk,tropical fruit,root vegetables,Instant food products,margarine,,,,,,
pork,margarine,,,,,,,,,
frankfurter,bottled water,onions,,,,,,,,
rolls/buns,soda,chocolate,soda,,,,,,,
citrus fruit,rum,,,,,,,,,
tropical fruit,candy,salt,,,,,,,,
brown bread,rolls/buns,,,,,,,,,
whole milk,hard cheese,,,,,,,,,
whole milk,yogurt,newspapers,,,,,,,,
pastry,whole milk,,,,,,,,,
whole milk,pip fruit,,,,,,,,,
grapes,soda,,,,,,,,,
cereals,dessert,,,,,,,,,
grapes,other vegetables,,,,,,,,,
specialty cheese,beverages,,,,,,,,,
other vegetables,beverages,,,,,,,,,
root vegetables,curd,,,,,,,,,
butter,newspapers,,,,,,,,,
bottled beer,frankfurter,UHT-milk,pot plants,,,,,,,
pork,waffles,tropical fruit,pork,canned beer,whipped/sour cream,newspapers,cream cheese ,,,
ice cream,whole milk,,,,,,,,,
UHT-milk,other vegetables,cream cheese ,rolls/buns,,,,,,,
root vegetables,canned beer,whole milk,oil,,,,,,,
berries,oil,cat food,,,,,,,,
rolls/buns,whipped/sour cream,,,,,,,,,
root vegetables,cream cheese ,,,,,,,,,
citrus fruit,rolls/buns,salt,,,,,,,,
frankfurter,yogurt,,,,,,,,,
other vegetables,coffee,,,,,,,,,
beef,red/blush wine,,,,,,,,,
citrus fruit,bottled water,white wine,rolls/buns,,,,,,,
condensed milk,yogurt,,,,,,,,,
tropical fruit,beverages,,,,,,,,,
dog food,coffee,seasonal products,,,,,,,,
ham,brown bread,,,,,,,,,
frankfurter,whole milk,rolls/buns,,,,,,,,
other vegetables,other vegetables,butter,,,,,,,,
meat,hamburger meat,,,,,,,,,
sausage,meat spreads,,,,,,,,,
citrus fruit,specialty cheese,,,,,,,,,
pip fruit,white wine,chocolate,,,,,,,,
frozen vegetables,brown bread,,,,,,,,,
coffee,napkins,,,,,,,,,
bottled beer,whole milk,,,,,,,,,
pork,rolls/buns,,,,,,,,,
seasonal products,salt,,,,,,,,,
dessert,pickled vegetables,cat food,,,,,,,,
frankfurter,domestic eggs,,,,,,,,,
meat,tropical fruit,rolls/buns,,,,,,,,
frankfurter,rolls/buns,,,,,,,,,
white bread,curd cheese,,,,,,,,,
rolls/buns,brown bread,whole milk,pasta,curd,butter milk,,,,,
rolls/buns,waffles,,,,,,,,,
whole milk,rolls/buns,,,,,,,,,
beef,semi-finished bread,,,,,,,,,
whole milk,soda,,,,,,,,,
citrus fruit,newspapers,,,,,,,,,
pickled vegetables,cream cheese ,,,,,,,,,
whole milk,other vegetables,pip fruit,sparkling wine,,,,,,,
root vegetables,ham,butter,brown bread,pastry,spread cheese,,,,,
salty snack,canned beer,,,,,,,,,
frozen meals,rolls/buns,chocolate marshmallow,,,,,,,,
other vegetables,yogurt,,,,,,,,,
grapes,honey,,,,,,,,,
citrus fruit,domestic eggs,,,,,,,,,
beef,brown bread,,,,,,,,,
whole milk,onions,,,,,,,,,
tropical fruit,cake bar,,,,,,,,,
chewing gum,coffee,napkins,brown bread,,,,,,,
citrus fruit,tropical fruit,,,,,,,,,
root vegetables,tropical fruit,,,,,,,,,
white bread,bottled beer,yogurt,berries,,,,,,,
other vegetables,yogurt,,,,,,,,,
long life bakery product,bottled beer,,,,,,,,,
beef,whipped/sour cream,,,,,,,,,
other vegetables,cream cheese ,liquor,root vegetables,newspapers,hard cheese,,,,,
frankfurter,whole milk,shopping bags,rolls/buns,,,,,,,
root vegetables,processed cheese,,,,,,,,,
soda,fruit/vegetable juice,,,,,,,,,
beef,hair spray,,,,,,,,,
canned beer,sugar,,,,,,,,,
frankfurter,pork,sliced cheese,candy,pastry,shopping bags,,,,,
hamburger meat,margarine,,,,,,,,,
curd,ice cream,,,,,,,,,
root vegetables,rolls/buns,Instant food products,,,,,,,,
canned beer,hygiene articles,,,,,,,,,
dessert,rolls/buns,,,,,,,,,
soda,onions,other vegetables,,,,,,,,
butter,bottled water,bottled water,,,,,,,,
sausage,curd,,,,,,,,,
yogurt,rolls/buns,,,,,,,,,
semi-finished bread,whole milk,,,,,,,,,
sausage,tropical fruit,misc. beverages,root vegetables,,,,,,,
brown bread,yogurt,,,,,,,,,
beef,frankfurter,other vegetables,brown bread,,,,,,,
oil,yogurt,,,,,,,,,
onions,margarine,,,,,,,,,
tropical fruit,other vegetables,,,,,,,,,
other vegetables,pickled vegetables,,,,,,,,,
beef,candy,,,,,,,,,
tropical fruit,rolls/buns,,,,,,,,,
beef,mustard,,,,,,,,,
frankfurter,curd cheese,chocolate,pastry,soda,,,,,,
pork,yogurt,,,,,,,,,
whole milk,male cosmetics,,,,,,,,,
pork,brown bread,bottled beer,shopping bags,,,,,,,
whole milk,frozen meals,,,,,,,,,
specialty bar,chicken,,,,,,,,,
coffee,whole milk,,,,,,,,,
curd,cake bar,ketchup,,,,,,,,
pip fruit,root vegetables,,,,,,,,,
sausage,pot plants,,,,,,,,,
citrus fruit,chocolate,,,,,,,,,
whole milk,sugar,,,,,,,,,
white bread,bottled water,,,,,,,,,
beef,misc. beverages,,,,,,,,,
margarine,house keeping products,whole milk,canned beer,,,,,,,
newspapers,fruit/vegetable juice,specialty chocolate,,,,,,,,
whole milk,bottled beer,,,,,,,,,
sausage,soda,,,,,,,,,
citrus fruit,canned beer,waffles,chocolate,dish cleaner,,,,,,
napkins,tropical fruit,yogurt,sugar,,,,,,,
whole milk,rolls/buns,,,,,,,,,
sausage,beverages,,,,,,,,,
frankfurter,coffee,,,,,,,,,
meat,cake bar,,,,,,,,,
other vegetables,hard cheese,liquor,brown bread,,,,,,,
other vegetables,photo/film,newspapers,,,,,,,,
red/blush wine,yogurt,,,,,,,,,
meat,long life bakery product,yogurt,napkins,,,,,,,
whole milk,yogurt,,,,,,,,,
soda,chocolate marshmallow,hard cheese,,,,,,,,
frozen potato products,whipped/sour cream,,,,,,,,,
berries,pip fruit,,,,,,,,,
instant coffee,newspapers,hard cheese,salty snack,,,,,,,
soda,pork,curd,Instant food products,,,,,,,
canned beer,specialty vegetables,long life bakery product,,,,,,,,
whole milk,chocolate,rolls/buns,brown bread,,,,,,,
beverages,prosecco,,,,,,,,,
rolls/buns,red/blush wine,,,,,,,,,
other vegetables,hygiene articles,,,,,,,,,
beef,dog food,yogurt,,,,,,,,
whole milk,rolls/buns,ice cream,brown bread,,,,,,,
frankfurter,whole milk,,,,,,,,,
domestic eggs,pastry,,,,,,,,,
other vegetables,citrus fruit,rolls/buns,,,,,,,,
soda,beef,soda,margarine,,,,,,,
root vegetables,coffee,shopping bags,specialty bar,,,,,,,
pastry,dish cleaner,,,,,,,,,
ham,UHT-milk,,,,,,,,,
root vegetables,soda,,,,,,,,,
pork,domestic eggs,,,,,,,,,
beef,frozen vegetables,,,,,,,,,
soda,chocolate marshmallow,fruit/vegetable juice,,,,,,,,
white wine,newspapers,,,,,,,,,
pip fruit,soda,detergent,,,,,,,,
newspapers,sausage,sugar,,,,,,,,
bottled water,frozen dessert,root vegetables,,,,,,,,
whole milk,coffee,,,,,,,,,
whole milk,cream cheese ,,,,,,,,,
waffles,butter milk,domestic eggs,,,,,,,,
soda,soda,,,,,,,,,
onions,domestic eggs,long life bakery product,pastry,,,,,,,
other vegetables,domestic eggs,,,,,,,,,
frankfurter,soda,chocolate,,,,,,,,
tropical fruit,pastry,newspapers,,,,,,,,
beef,chocolate marshmallow,margarine,,,,,,,,
frozen meals,bottled water,,,,,,,,,
specialty bar,curd,,,,,,,,,
frozen vegetables,coffee,,,,,,,,,
turkey,whipped/sour cream,,,,,,,,,
chicken,dessert,,,,,,,,,
yogurt,specialty chocolate,specialty bar,,,,,,,,
tropical fruit,curd,,,,,,,,,
meat,bottled water,,,,,,,,,
soda,beverages,rolls/buns,curd,,,,,,,
whole milk,yogurt,pastry,,,,,,,,
tropical fruit,semi-finished bread,,,,,,,,,
pork,root vegetables,root vegetables,curd,canned vegetables,cream cheese ,fruit/vegetable juice,nut snack,,,
chocolate,rolls/buns,,,,,,,,,
processed cheese,brandy,,,,,,,,,
rolls/buns,seasonal products,margarine,,,,,,,,
whipped/sour cream,soft cheese,,,,,,,,,
beef,whole milk,,,,,,,,,
citrus fruit,tropical fruit,pork,other vegetables,whole milk,yogurt,flower (seeds),,,,
meat,soda,,,,,,,,,
bottled water,dessert,,,,,,,,,
root vegetables,root vegetables,,,,,,,,,
chicken,misc. beverages,,,,,,,,,
frankfurter,processed cheese,,,,,,,,,
pet care,brown bread,pastry,dish cleaner,,,,,,,
whole milk,white bread,,,,,,,,,
canned beer,chocolate,,,,,,,,,
tropical fruit,citrus fruit,,,,,,,,,
tropical fruit,whole milk,other vegetables,long life bakery product,,,,,,,
tropical fruit,root vegetables,,,,,,,,,
pork,sugar,,,,,,,,,
pastry,roll products ,,,,,,,,,
soda,frozen dessert,pickled vegetables,,,,,,,,
whole milk,grapes,,,,,,,,,
shopping bags,hard cheese,yogurt,,,,,,,,
pastry,sugar,,,,,,,,,
root vegetables,whole milk,,,,,,,,,
beef,turkey,grapes,shopping bags,sliced cheese,bottled water,,,,,
pastry,pet care,margarine,,,,,,,,
white bread,frozen vegetables,,,,,,,,,
cookware,spread cheese,,,,,,,,,
bottled water,berries,,,,,,,,,
meat,liver loaf,,,,,,,,,
citrus fruit,yogurt,,,,,,,,,
specialty chocolate,bottled water,,,,,,,,,
coffee,shopping bags,,,,,,,,,
specialty chocolate,frankfurter,citrus fruit,candy,brown bread,,,,,,
yogurt,rolls/buns,,,,,,,,,
beef,meat spreads,,,,,,,,,
margarine,frozen vegetables,,,,,,,,,
margarine,cream cheese ,misc. beverages,,,,,,,,
bottled water,other vegetables,light bulbs,,,,,,,,
soda,soda,domestic eggs,,,,,,,,
butter,candy,,,,,,,,,
canned beer,yogurt,,,,,,,,,
soda,root vegetables,,,,,,,,,
bottled water,brown bread,,,,,,,,,
pork,whipped/sour cream,,,,,,,,,
pot plants,grapes,brown bread,other vegetables,kitchen towels,,,,,,
frankfurter,light bulbs,rolls/buns,pasta,,,,,,,
yogurt,shopping bags,,,,,,,,,
beef,specialty bar,,,,,,,,,
dishes,frozen fish,,,,,,,,,
whole milk,spread cheese,bottled water,onions,,,,,,,
margarine,yogurt,,,,,,,,,
ice cream,whole milk,margarine,whole milk,,,,,,,
rolls/buns,whole milk,,,,,,,,,
chocolate,whole milk,yogurt,,,,,,,,
soda,cling film/bags,,,,,,,,,
citrus fruit,misc. beverages,misc. beverages,,,,,,,,
chicken,rolls/buns,,,,,,,,,
newspapers,soda,,,,,,,,,
liquor (appetizer),hard cheese,yogurt,,,,,,,,
detergent,soft cheese,,,,,,,,,
pork,nuts/prunes,rolls/buns,,,,,,,,
frozen dessert,berries,,,,,,,,,
pastry,dish cleaner,,,,,,,,,
pastry,whole milk,other vegetables,rolls/buns,,,,,,,
frankfurter,ice cream,mustard,soda,,,,,,,
citrus fruit,cream cheese ,,,,,,,,,
napkins,mustard,,,,,,,,,
shopping bags,rubbing alcohol,,,,,,,,,
citrus fruit,butter,,,,,,,,,
sliced cheese,newspapers,,,,,,,,,
pork,pastry,,,,,,,,,
berries,bottled beer,beef,whole milk,,,,,,,
frozen fish,curd,,,,,,,,,
ham,whole milk,,,,,,,,,
beverages,other vegetables,root vegetables,,,,,,,,
whole milk,soda,,,,,,,,,
bottled water,root vegetables,,,,,,,,,
frankfurter,specialty bar,,,,,,,,,
pork,rolls/buns,,,,,,,,,
whole milk,rolls/buns,,,,,,,,,
pip fruit,soda,,,,,,,,,
pastry,misc. beverages,flour,,,,,,,,
whole milk,processed cheese,curd cheese,,,,,,,,
specialty chocolate,domestic eggs,,,,,,,,,
brown bread,ketchup,soda,,,,,,,,
other vegetables,whole milk,bottled beer,,,,,,,,
sugar,processed cheese,,,,,,,,,
salty snack,bottled beer,,,,,,,,,
tropical fruit,yogurt,,,,,,,,,
tropical fruit,herbs,chocolate,,,,,,,,
beef,other vegetables,,,,,,,,,
frankfurter,other vegetables,cream cheese ,,,,,,,,
frankfurter,beef,meat,waffles,whole milk,curd,white bread,frozen meals,sugar,,
tropical fruit,frozen vegetables,whole milk,snack products,,,,,,,
other vegetables,other vegetables,,,,,,,,,
onions,whipped/sour cream,,,,,,,,,
whole milk,pastry,butter,whole milk,,,,,,,
other vegetables,chocolate,,,,,,,,,
cream cheese ,rolls/buns,,,,,,,,,
citrus fruit,root vegetables,,,,,,,,,
cream cheese ,bottled water,,,,,,,,,
berries,soap,,,,,,,,,
beef,soda,coffee,,,,,,,,
detergent,rolls/buns,,,,,,,,,
whole milk,soda,,,,,,,,,
frankfurter,sliced cheese,,,,,,,,,
bottled beer,oil,,,,,,,,,
soda,beef,,,,,,,,,
beef,whole milk,detergent,,,,,,,,
onions,pip fruit,dog food,,,,,,,,
butter milk,berries,,,,,,,,,
other vegetables,whole milk,,,,,,,,,
whole milk,white wine,UHT-milk,,,,,,,,
frozen vegetables,rolls/buns,cling film/bags,,,,,,,,
pip fruit,rolls/buns,whole milk,,,,,,,,
pastry,pip fruit,,,,,,,,,
pork,pickled vegetables,,,,,,,,,
pip fruit,pasta,,,,,,,,,
other vegetables,brown bread,,,,,,,,,
hamburger meat,soda,hard cheese,,,,,,,,
whole milk,yogurt,,,,,,,,,
beef,beef,,,,,,,,,
pastry,other vegetables,,,,,,,,,
fruit/vegetable juice,butter,,,,,,,,,
sausage,yogurt,,,,,,,,,
specialty bar,chocolate,packaged fruit/vegetables,domestic eggs,cream cheese ,,,,,,
soda,newspapers,,,,,,,,,
root vegetables,margarine,,,,,,,,,
soft cheese,specialty cheese,,,,,,,,,
other vegetables,frozen vegetables,,,,,,,,,
sausage,fruit/vegetable juice,salt,,,,,,,,
citrus fruit,yogurt,,,,,,,,,
ice cream,herbs,,,,,,,,,
whole milk,whipped/sour cream,,,,,,,,,
beef,other vegetables,,,,,,,,,
tropical fruit,salty snack,,,,,,,,,
frankfurter,pork,,,,,,,,,
soups,whole milk,beef,bottled beer,,,,,,,
beef,kitchen towels,fruit/vegetable juice,,,,,,,,
sausage,female sanitary products,,,,,,,,,
other vegetables,red/blush wine,,,,,,,,,
sausage,shopping bags,shopping bags,,,,,,,,
newspapers,white bread,,,,,,,,,
pip fruit,whole milk,,,,,,,,,
whole milk,newspapers,,,,,,,,,
herbs,citrus fruit,,,,,,,,,
canned beer,yogurt,soda,,,,,,,,
frozen vegetables,flower (seeds),,,,,,,,,
whole milk,canned beer,herbs,bottled beer,,,,,,,
semi-finished bread,margarine,butter,,,,,,,,
onions,long life bakery product,,,,,,,,,
popcorn,citrus fruit,,,,,,,,,
domestic eggs,margarine,,,,,,,,,
sliced cheese,dessert,shopping bags,,,,,,,,
other vegetables,salty snack,brown bread,canned beer,,,,,,,
whole milk,other vegetables,curd,,,,,,,,
fruit/vegetable juice,bottled water,,,,,,,,,
root vegetables,UHT-milk,,,,,,,,,
fruit/vegetable juice,bottled beer,,,,,,,,,
pork,other vegetables,shopping bags,,,,,,,,
canned vegetables,dental care,,,,,,,,,
ketchup,potato products,,,,,,,,,
organic products,root vegetables,,,,,,,,,
pip fruit,yogurt,,,,,,,,,
other vegetables,hygiene articles,,,,,,,,,
instant coffee,onions,processed cheese,dental care,,,,,,,
napkins,photo/film,dessert,,,,,,,,
photo/film,bottled water,,,,,,,,,
sliced cheese,newspapers,dog food,fruit/vegetable juice,rolls/buns,butter,hygiene articles,yogurt,,,
citrus fruit,sliced cheese,napkins,,,,,,,,
sausage,prosecco,pot plants,,,,,,,,
pork,cream cheese ,UHT-milk,,,,,,,,
bottled water,soda,margarine,candy,,,,,,,
root vegetables,turkey,bottled water,,,,,,,,
vinegar,whole milk,,,,,,,,,
other vegetables,chocolate,,,,,,,,,
white wine,dishes,,,,,,,,,
pip fruit,other vegetables,,,,,,,,,
sausage,soda,butter,,,,,,,,
newspapers,waffles,salty snack,,,,,,,,
frankfurter,hair spray,,,,,,,,,
pastry,domestic eggs,,,,,,,,,
newspapers,other vegetables,,,,,,,,,
yogurt,canned beer,,,,,,,,,
pork,rolls/buns,roll products ,,,,,,,,
beef,rolls/buns,butter,,,,,,,,
rolls/buns,bottled beer,,,,,,,,,
citrus fruit,shopping bags,tropical fruit,frankfurter,brown bread,rubbing alcohol,domestic eggs,whole milk,,,
salty snack,beef,,,,,,,,,
pip fruit,soda,,,,,,,,,
other vegetables,pork,,,,,,,,,
sausage,bottled beer,,,,,,,,,
pork,whole milk,,,,,,,,,
bottled beer,herbs,,,,,,,,,
pip fruit,dessert,,,,,,,,,
soda,salty snack,,,,,,,,,
white bread,hard cheese,,,,,,,,,
margarine,whipped/sour cream,,,,,,,,,
liquor,brandy,,,,,,,,,
citrus fruit,whipped/sour cream,,,,,,,,,
chicken,citrus fruit,turkey,whole milk,sweet spreads,cream cheese ,specialty chocolate,oil,,,
beef,long life bakery product,berries,candles,,,,,,,
other vegetables,bottled water,beverages,,,,,,,,
frozen meals,instant coffee,specialty chocolate,,,,,,,,
tropical fruit,pork,UHT-milk,hamburger meat,,,,,,,
oil,shopping bags,,,,,,,,,
waffles,Instant food products,,,,,,,,,
soda,shopping bags,,,,,,,,,
pork,bottled water,,,,,,,,,
tropical fruit,red/blush wine,,,,,,,,,
tropical fruit,yogurt,,,,,,,,,
domestic eggs,root vegetables,semi-finished bread,curd,,,,,,,
pastry,curd,,,,,,,,,
sausage,soda,,,,,,,,,
citrus fruit,pork,canned fish,oil,,,,,,,
rolls/buns,napkins,newspapers,,,,,,,,
other vegetables,pickled vegetables,hard cheese,,,,,,,,
seasonal products,rolls/buns,,,,,,,,,
other vegetables,bottled beer,,,,,,,,,
sausage,pastry,,,,,,,,,
misc. beverages,shopping bags,,,,,,,,,
beef,white wine,,,,,,,,,
berries,butter milk,,,,,,,,,
spread cheese,newspapers,,,,,,,,,
pip fruit,specialty bar,,,,,,,,,
canned beer,root vegetables,,,,,,,,,
frankfurter,whole milk,,,,,,,,,
chicken,frozen meals,,,,,,,,,
chicken,chocolate marshmallow,hygiene articles,,,,,,,,
other vegetables,coffee,rolls/buns,,,,,,,,
other vegetables,newspapers,,,,,,,,,
soda,roll products ,,,,,,,,,
citrus fruit,cling film/bags,hard cheese,,,,,,,,
hamburger meat,bottled water,,,,,,,,,
specialty chocolate,cat food,,,,,,,,,
ice cream,white bread,whole milk,bottled water,,,,,,,
other vegetables,skin care,,,,,,,,,
canned beer,brown bread,,,,,,,,,
whole milk,margarine,,,,,,,,,
other vegetables,snack products,,,,,,,,,
canned beer,citrus fruit,,,,,,,,,
other vegetables,yogurt,whole milk,spread cheese,,,,,,,
other vegetables,rolls/buns,,,,,,,,,
bottled water,softener,rolls/buns,,,,,,,,
packaged fruit/vegetables,pip fruit,,,,,,,,,
rolls/buns,seasonal products,,,,,,,,,
finished products,whole milk,baking powder,,,,,,,,
pasta,hamburger meat,frozen meals,domestic eggs,,,,,,,
bottled beer,butter,,,,,,,,,
whipped/sour cream,newspapers,,,,,,,,,
yogurt,yogurt,other vegetables,sliced cheese,,,,,,,
beef,frozen vegetables,,,,,,,,,
rolls/buns,berries,shopping bags,rice,,,,,,,
fruit/vegetable juice,whole milk,,,,,,,,,
curd,soda,,,,,,,,,
sausage,nuts/prunes,,,,,,,,,
cake bar,butter milk,,,,,,,,,
bottled water,brown bread,,,,,,,,,
soda,other vegetables,,,,,,,,,
bottled beer,yogurt,,,,,,,,,
bottled water,detergent,domestic eggs,yogurt,,,,,,,
whole milk,bottled beer,,,,,,,,,
whole milk,soda,mustard,,,,,,,,
sausage,dessert,rolls/buns,pickled vegetables,,,,,,,
bottled beer,root vegetables,pip fruit,other vegetables,dessert,rolls/buns,shopping bags,,,,
meat,yogurt,,,,,,,,,
chocolate marshmallow,ready soups,,,,,,,,,
semi-finished bread,bottled water,,,,,,,,,
pip fruit,napkins,shopping bags,,,,,,,,
frankfurter,whole milk,,,,,,,,,
dish cleaner,soda,,,,,,,,,
root vegetables,whole milk,soda,,,,,,,,
tropical fruit,condensed milk,,,,,,,,,
meat,chocolate,,,,,,,,,
margarine,yogurt,,,,,,,,,
soda,long life bakery product,pastry,,,,,,,,
curd,margarine,,,,,,,,,
dessert,coffee,whole milk,cream cheese ,,,,,,,
sausage,UHT-milk,,,,,,,,,
tropical fruit,grapes,ice cream,sweet spreads,,,,,,,
brown bread,frozen vegetables,,,,,,,,,
tropical fruit,other vegetables,,,,,,,,,
onions,grapes,yogurt,tropical fruit,whole milk,salty snack,root vegetables,frozen dessert,whipped/sour cream,,
other vegetables,domestic eggs,,,,,,,,,
meat,bottled water,soda,,,,,,,,
chicken,fruit/vegetable juice,,,,,,,,,
soda,whole milk,,,,,,,,,
mayonnaise,frozen vegetables,processed cheese,,,,,,,,
yogurt,rolls/buns,,,,,,,,,
bottled water,shopping bags,soda,flour,,,,,,,
whole milk,berries,,,,,,,,,
whole milk,beef,citrus fruit,newspapers,bottled water,,,,,,
whole milk,pastry,,,,,,,,,
tropical fruit,butter,,,,,,,,,
detergent,rolls/buns,yogurt,,,,,,,,
other vegetables,coffee,,,,,,,,,
sausage,frozen potato products,,,,,,,,,
domestic eggs,other vegetables,,,,,,,,,
chicken,butter milk,,,,,,,,,
rolls/buns,rolls/buns,,,,,,,,,
soda,onions,,,,,,,,,
sausage,long life bakery product,curd,,,,,,,,
pork,whole milk,waffles,whole milk,sugar,,,,,,
curd,coffee,baking powder,,,,,,,,
pastry,hygiene articles,,,,,,,,,
other vegetables,fruit/vegetable juice,,,,,,,,,
pork,napkins,,,,,,,,,
sparkling wine,waffles,,,,,,,,,
other vegetables,UHT-milk,,,,,,,,,
other vegetables,rolls/buns,,,,,,,,,
tropical fruit,curd,,,,,,,,,
tropical fruit,other vegetables,,,,,,,,,
citrus fruit,herbs,,,,,,,,,
beef,curd,,,,,,,,,
root vegetables,herbs,,,,,,,,,
beverages,tropical fruit,,,,,,,,,
domestic eggs,butter,,,,,,,,,
chicken,beef,,,,,,,,,
whole milk,soda,bottled water,pastry,,,,,,,
photo/film,vinegar,,,,,,,,,
whole milk,rolls/buns,waffles,,,,,,,,
rolls/buns,onions,,,,,,,,,
condensed milk,curd,,,,,,,,,
other vegetables,citrus fruit,,,,,,,,,
cling film/bags,curd,,,,,,,,,
other vegetables,curd,,,,,,,,,
yogurt,chocolate,,,,,,,,,
whipped/sour cream,tropical fruit,specialty chocolate,flour,,,,,,,
pip fruit,soda,,,,,,,,,
frankfurter,condensed milk,,,,,,,,,
rolls/buns,root vegetables,rolls/buns,long life bakery product,,,,,,,
UHT-milk,curd,,,,,,,,,
napkins,other vegetables,,,,,,,,,
cat food,domestic eggs,,,,,,,,,
tropical fruit,waffles,,,,,,,,,
bottled beer,whole milk,,,,,,,,,
sausage,spread cheese,specialty bar,soda,,,,,,,
other vegetables,root vegetables,mayonnaise,,,,,,,,
rolls/buns,bottled beer,dishes,pip fruit,whole milk,hard cheese,brown bread,soda,,,
whole milk,flour,,,,,,,,,
UHT-milk,flower soil/fertilizer,salty snack,,,,,,,,
cream cheese ,whole milk,root vegetables,frankfurter,other vegetables,whole milk,dish cleaner,mustard,hygiene articles,,
hamburger meat,grapes,candy,,,,,,,,
rolls/buns,misc. beverages,ice cream,tropical fruit,shopping bags,coffee,popcorn,hygiene articles,,,
soda,liquor (appetizer),,,,,,,,,
sausage,bottled water,brown bread,,,,,,,,
soda,soda,,,,,,,,,
dessert,butter,,,,,,,,,
